ID,TITLE,BPM,KEY,PART,ARTIST,TYPE,ORIGIN,YEAR,SEASON
0,Ambivalent,130,A# Major,,,Anime,,2024,
3,DiViNE,101.5,E Major,,,Anime,,2021,
7,Sound of Snow,86,D Major,,,Anime,,2024,
8,Preview,88,F# Major,,,Anime,,2023,
9,Onnaji Kimochi.,130,G Major,,,Anime,,2021,
10,Wanna Fly?,89,C Major,,,Anime,,2021,
11,Mirai no Hero Taichi,92.5,B Major,,,Anime,,2022,
12,My Dear SiSTARS!,73,F Major,,,Anime,,2024,
14,Go Exceed!!,92.5,D Major,,,Anime,,,
19,Start Line,88,F Major,,,Anime,,2022,
20,See You Again,150,F Major,,,Anime,,2023,
26,Feel Alive,152,C Major,,,Anime,,2023,
28,Jinsei Easy,138,G Major,,,Anime,,2021,
29,Himitsu Koi Gokoro,83,A# Major,,,Anime,,2022,
30,Change The World,129.15,D Major,,,Anime,,,
36,Let's Duel!!,87,A Major,,,Anime,,2024,
41,Colorful,76.5,F Major,,Miku Sawai,Anime,Saekano: How to Raise a Boring Girlfriend,2015,
42,Kuchizuke Diamond,82,G Major,,WEAVER,Anime,Yamada-kun and the Seven Witches,2015,
49,routine life,105,D Major,,,Anime,,2024,
52,In My World,95,E Major,,,Anime,,,
55,My Dearest,84,C Major,,supercell,Anime,Guilty Crown,2011,
59,oath sign,76,G Major,,LiSA,Anime,Fate/Zero,2011,
61,Black Swallowtail,102,F Major,,,Anime,,,
63,Shadow and Truth,121,G Major,,,Anime,,,
71,Stay Alive,70,G# Major,,Rie Takahashi,Anime,Re:Zero − Starting Life in Another World,2016,
72,Yukitoki,82.5,F Major,,Nagi Yanagi,Anime,My Teen Romantic Comedy SNAFU,2013,
73,Kimi ga Emu Yuugure,83,A Major,,Yoshino Nanjo,Anime,Tokyo Ravens,2014,
74,Koigoromo,92,F# Major,,,Anime,,2023,
84,WataMote!,100,D# Major,,,Anime,,,
85,Regeneration,123,G Major,,,Anime,,,
86,departure!,80,C# Major,,Masatoshi Ono,Anime,Hunter x Hunter (2011),2011,
91,LEveL,113,F Major,,,Anime,,2024,
93,Golden Time,70.5,F Major,,Yui Horie,Anime,Golden Time,2013,
95,Uso no Hibana,94,D Major,,,Anime,,,
99,"My Soul, Your Beats",72.5,D Major,,Lia,Anime,Angel Beats,2010,
106,again,70,G Major,,yui,Anime,Fullmetal Alchemist: Brotherhood,2010,
109,Rakuen no Tsubasa,77.5,C Major,,Maon Kurosaki,Anime,The Fruit of Grisaia,2014,
114,Dystopia,95,G# Major,,,Anime,,2023,
117,Like Flames,87.5,A# Major,,,Anime,,2021,
125,MISSION,86,A Major,,,Anime,,2024,
128,Whatcha Gonna Do?,160,D# Major,,,Anime,,2023,
133,Obake Himawari,112,D Major,,,Anime,,2024,
135,give it back,100,C# Major,,,Anime,,2021,
136,Bonno ☆ Paradise,96,C Major,,,Anime,,2023,
140,Kyoukaisen,93.5,D Major,,,Anime,,2021,
142,Uragirinoyuuyake,75.5,G Major,,Theatre Brook,Anime,Durarara!!,2010,
143,Unmei Kyoudoutai!,130,A Major,,,Anime,,2023,
146,Contradiction,130,G Major,,,Anime,,,
147,The Other self,75,D Major,,GRANRODEO,Anime,Kuroko no Basket,2013,
148,Yofukashi no Uta,115,C# Major,,,Anime,,2022,
152,Akuma no Ko,90,D Major,,,Anime,,2022,
155,SHAKE! SHAKE!,72,D Major,,,Anime,,2021,
158,Sore wa Akatsuki no,100,G Major,,,Anime,,,
161,Yuke,90,E Major,,,Anime,,2021,
163,Candy Magic,80,C# Major,,MimimemeMIMI,Anime,Yamada-kun and the Seven Witches,2015,
164,Negotiation,75,D Major,,,Anime,,2020,
170,Isekai Quartet,74,C Major,,"Satoshi Hino, Jun Fukushima, Yuusuke Kobayashi, Aoi Yuuki",Anime,Isekai Quartet,2019,
173,Kokoro Hayaru,91,C# Major,,,Anime,,2021,
174,Love Call,91,G Major,,,Anime,,2024,
175,Hajimari e To Tsuzuk,136,F Major,,,Anime,,2022,
178,Aire,96.5,C Major,,,Anime,,2024,
180,Shayou,124,F Major,,,Anime,,2023,
183,Only one yell,90,C# Major,,,Anime,,2021,
186,"Can Now, Can Now",80,F Major,,Study,Anime,We Never Learn,2019,
189,Broken Sky,91,F# Major,,,Anime,,2020,
190,Black Catcher,100,D Major,,,Anime,,,
193,kaleidoscope,95,A# Major,,,Anime,,2023,
