ID,BPM,KEY,PART,TITLE,ARTIST,ORIGIN,SEASON,YEAR,TYPE,NOTES
000001,"81.5, 81.5, 81.5, 81.5","D Major, A Major, A Major, D Major","Intro, Verse, Prechorus, Chorus",CHA-LA HEAD CHA-LA,Hironobu Kageyama,Dragon Ball Z,,1989,Anime,
000002,71,F Major,,Kimi ga Suki da to Sake Bitai,Baad,Slam Dunk,,1993,Anime,
000003,84.056,E Major,,D-TecnoLife,UVERworld,Bleach,,2005,Anime,
000004,71,G Major,,Red fraction,MELL,Black Lagoon,,2006,Anime,
000005,83,D Major,,Sakura Kiss,Chieko Kawabe,Ouran High School Host Club,,2006,Anime,
000006,82,A# Major,,PAPERMOON,Tommy heavenly6,Soul Eater,,2008,Anime,
000007,"75, 75","C Major, D# Major","Verse, Chorus",Monochrome Kiss,SID,Black Butler,,2008,Anime,
000008,72.5,E Major,,Special days,"Hitomi Nabatame, Yuuko Gotou, Ayahi Takagaki",Special A,,2008,Anime,
000009,76,A Major,,Blue Bird,Ikimono-gakari,Naruto Shippuden,,2008,Anime,
000010,80,F Major,,Pre-Parade,"Rie Kugimiya, Yui Horie, Eri Kitamura",Toradora!,,2008,Anime,
000011,85,E Major,,Cagayake Girls,Houkago Tea Time,K-On!,,2009,Anime,
000012,70,E Major,,Vanilla Salt,Yui Horie,Toradora,,2009,Anime,
000013,"78.07, 78.07, 78.07","C Major, C Major, D Major","Verse, Chorus, Last Chorus",Hologram,NICO Touches the Walls,Fullmetal Alchemist: Brotherhood,,2009,Anime,
000014,"72.5, 72.5, 72.5, 72.5","D Major, D Major, E Major, E Major","Verse, Prechorus, Chorus, Bridge","My Soul, Your Beats",Lia,Angel Beats,,2010,Anime,
000015,70,G Major,,again,yui,Fullmetal Alchemist: Brotherhood,,2010,Anime,
000016,75.5,G Major,,Uragirinoyuuyake,Theatre Brook,Durarara!!,,2010,Anime,
000017,"85, 85, 85, 130","A Major, C Major, A Major, A Major","Verse 1, Prechorus, Chorus, Verse 2",God only knows,Oratorio The World God Only Knows (ELISA),The World God Only Knows,,2010,Anime,
000018,86.5,A Major,,Snow Halation,μ's,Love Live! School Idol Project,,2010,Anime,
000019,85,E Major,,Balance KISS,"Ayana Taketatsu, Yuiko Tatsumi",Kiss X Sis,,2010,Anime,
000020,75,E Major,,Bouken Desho Desho?,Aya Hirano,The Disappearance of Haruhi Suzumiya,,2010,Anime,
000021,76.5,E Major,,Loop-the-Loop,KOTOKO,Motto To Love-Ru,,2010,Anime,
000022,84,C Major,,My Dearest,supercell,Guilty Crown,,2011,Anime,
000023,"76, 76, 76","G Major, G Major, A Major","Verse, Prechorus, Chorus",oath sign,LiSA,Fate/Zero,,2011,Anime,
000024,"80, 80, 80, 80","G# Major, C# Major, A# Major, D Major","Intro, Verse, Chorus, Bridge",departure!,Masatoshi Ono,Hunter x Hunter (2011),,2011,Anime,
000025,"84, 84, 84, 84","D# Major, F Major, D# Major, D# Major","Intro, Verse, Prechorus, Chorus",Be Starters!,Eri Kitamura,Mayo Chiki!,,2011,Anime,
000026,"86, 86","D Major, B Major","Verse, Chorus",The Everlasting Guilty,EGOIST,Guilty Crown,,2011,Anime,
000027,"76, 76, 76","E Major, E Major, F Major","Verse, Chorus, Last Chorus",Nakimushi.,Miku Sawai,You and Me.,,2011,Anime,
000028,77,A Major,,Dream of Life,Shohei Itou,Bakuman.: Season 2,,2011,Anime,
000029,85,D Major,,Kimi + Nazo + Watashi de JUMP!!,Larval Stage Planning,Baka & Test: Summon the Beasts,,2011,Anime,
000030,72,D Major,,Departures (Anata ni Okuru Ai no Uta),EGOIST,Guilty Crown,,2011,Anime,
000031,"80.5, 80.5","F Major, C Major","Verse, Chorus",Hacking To The Gate,Kanako Itou,Steins;Gate,,2011,Anime,
000032,"77, 77","E Major, F# Major","Verse, Chorus",Fly Away,Togashi Misuzu,Maken-ki!,,2011,Anime,
000033,83,A# Major,,Destin Histoire,yoshiki*lisa,Gosick,,2011,Anime,
000034,"77, 77","D Major, E Major","Verse, Chorus",STRAIGHT JET,Minami Kuribayashi,Infinite Stratos,,2011,Anime,
000035,80,A Major,,DAYS of DASH,Konomi Suzuki,The Pet Girl of Sakurasou,,2012,Anime,
000036,"83.5, 83.5, 83.5, 83.5, 83.5","G# Major, F Major, G# Major, G# Major, A Major","Intro, Verse, Prechorus, Chorus, Bridge",Reason why XXX,Sasaki Sayaka,"So, I Can't Play H!",,2012,Anime,
000037,79.5,D# Major,,Platinum 17,yozuca*,"So, I Can't Play H!",,2012,Anime,
000038,73,D Major,,Kamisama Hajime,Hanae,Kamisama Kiss,,2012,Anime,
000039,75.5,E Major,,Little Busters,Rita,Little Busters!,,2012,Anime,
000040,80,A# Major,,abnormalize,Ling Tosite Sigure,Psycho-Pass,,2012,Anime,
000041,"80, 80","C Major, D# Major","Verse, Chorus",Nippon Egao Hyakk,Momoiro Clover Z,Joshiraku,,2012,Anime,
000042,"74, 74","E Major, G Major","Verse, Chorus",Burst the Gravity,ALTIMA ,Accel World,,2012,Anime,
000043,83,G# Major,,Above your hand,Annabel,Sankarea,,2012,Anime,
000044,"80, 80, 80","D Major, D Major, D# Major","Verse, Chorus, Bridge",Paradigm,Eufonius,Kokoro Connect,,2012,Anime,
000045,73,A# Major,,Sono Chi no Sadame,Hiroaki TOMMY Tominaga,JoJo's Bizarre Adventure (2012),,2012,Anime,
000046,72.5,D# Major,,Kyoumu Densen,ALI PROJECT,Another,,2012,Anime,
000047,81,D# Major,,Yumesekai,Haruka Tomatsu,Sword Art Online,,2012,Anime,
000048,82.5,F Major,,Yukitoki,Nagi Yanagi,My Teen Romantic Comedy SNAFU,,2013,Anime,
000049,70.5,F Major,,Golden Time,Yui Horie,Golden Time,,2013,Anime,
000050,75,D Major,,The Other self,GRANRODEO,Kuroko no Basket,,2013,Anime,
