ID,BPM,KEY,PART,TITLE,ARTIST,ORIGIN,SEASON,YEAR,TYPE,NOTES
K00001,132,C# Major,,From Home,NCT U,NCT Resonance Pt. 1,Fall,2020,KPop,
K00002,134,D# Major,,Knock On,NCT 127,NCT #127 Regular-Irregular,Fall,2018,KPop,
K00003,134,D# Major,,Ice Cream,TWICE,TWICEcoaster: Lane 2,Winter,2017,KPop,
K00004,71,A# Major,,White Night,NCT 127,NCT #127 Neo Zone,Winter,2020,KPop,
K00005,72,E Major,,Love & Evil,LOONA 1/3,Love & Evil,Spring,2017,KPop,
K00006,72,E Major,,Up All Night,Stray Kids,SKZ-PLAYER,Spring,2021,KPop,
K00007,72,G# Major,,Be As one,TWICE,BDZ,Summer,2018,KPop,
K00008,73,G Major,,Someday,IZ*ONE,BLOOM*IZ,Winter,2020,KPop,
K00009,74,A Major,,Reflection,BTS,Wings,Fall,2016,KPop,
K00010,74,D Major,,Everybody Has,CHUNG HA,Querencia,Winter,2021,KPop,
K00011,74,C# Major,,Apology,iKON,WELCOME BACK,Fall,2015,KPop,
K00012,74,G# Major,,Memory,IZ*ONE,COLOR*IZ,Fall,2018,KPop,
K00013,75,D# Major,,BLAH,1THE9,Blah Blah,Fall,2019,KPop,
K00014,75,E Major,,TO THE BEAT,ATEEZ,ZERO : FEVER Part.1,Summer,2020,KPop,
K00015,75,G Major,,Alone,Jackson Wang,Alone,Winter,2021,KPop,
K00016,75,D Major,,Outro: We Are 127,NCT 127,NCT #127 We Are Superhuman,Spring,2019,KPop,
K00017,76,E Major,,Dive Into You,NCT DREAM,Hot Sauce,Spring,2021,KPop,
K00018,77,G Major,,Destiny,IZ*ONE,BLOOM*IZ,Winter,2020,KPop,
K00019,77,G# Major,,Best Friend,NCT DREAM,We Boom,Summer,2019,KPop,
K00020,78,G# Major,,Callin',A.C.E,Callin',Fall,2017,KPop,
K00021,78,F Major,,Light,ATEEZ,TREASURE EP.2: Zero To One,Winter,2019,KPop,
K00022,78,D Major,,Hi Hello,DAY6,Every Day6 July,Summer,2017,KPop,
K00023,78,A# Major,,Limitless,NCT 127,NCT #127 Limitless,Winter,2017,KPop,
K00024,78,F# Major,,Cherry Bomb,NCT 127,NCT #127 Cherry Bomb,Spring,2017,KPop,
K00025,78,B Major,,Beautiful Time,NCT DREAM,We Go Up,Summer,2018,KPop,
K00026,78,E Major,,Uncover (Sung by SEULGI),Red Velvet-IRENE & SEULGI,Monster,Summer,2020,KPop,
K00027,79,E Major,,GOODBYE ROAD,iKON,NEW KIDS : THE FINAL,Fall,2018,KPop,
K00028,80,C Major,,Celebrate,ATEEZ,ZERO : FEVER Part.2,Winter,2021,KPop,
K00029,80,G Major,,Make It Rain,Block B-BASTARZ,WELCOME 2 BASTARZ,Fall,2016,KPop,
K00030,80,E Major,,ECLIPSE,GOT7,SPINNING TOP : BETWEEN SECURITY & INSECURITY,Spring,2019,KPop,
K00031,80,A Major,,snow,Moonbyul,Dark Side of the Moon,Winter,2020,KPop,
K00032,80,C# Major,,No Longer,NCT 127,NCT #127 Regular-Irregular,Fall,2018,KPop,
K00033,80,D Major,,Why,ONF,GO LIVE,Fall,2019,KPop,
K00034,80,G# Major,,Can We Talk Again,PURPLE KISS,INTO VIOLET,Winter,2021,KPop,
K00035,80,A# Major,,"Eyes Locked, Hands Locked",RED VELVET,The ReVe Festival Day 2,Summer,2019,KPop,
K00036,80,F# Major,,Gone,ROSÉ,R,Winter,2021,KPop,
K00037,80,G Major,,"My Story, My Song",SF9,9loryUS,Summer,2020,KPop,
K00038,80,A# Major,,Spectrum,TRCNG,NEW GENERATION,Fall,2017,KPop,
K00039,80,B Major,,MMM,TREASURE,The First Step: Chapter Three,Fall,2020,KPop,
K00040,80,F Major,,Say Yes,TWICE,What is Love?,Spring,2018,KPop,
K00041,80,D# Major,,meaningless,WOODZ,meaningless,Fall,2018,KPop,
K00042,81,G# Major,,Jamais Vu,BTS,MAP OF THE SOUL : PERSONA,Spring,2019,KPop,
K00043,81,G# Major,,Life Goes On,BTS,BE,Fall,2020,KPop,
K00044,81,F# Major,,WHY,Hwa Sa,María,Spring,2020,KPop,
K00045,81,D Major,,Hello,PURPLE KISS,INTO VIOLET,Winter,2021,KPop,
K00046,81,A# Major,,Why Can't You Love Me?,WENDY,Like Water,Spring,2021,KPop,
K00047,82,C Major,,Intro: What Am I to You,BTS,Dark & Wild,Summer,2014,KPop,
K00048,82,A# Major,,Film out,BTS,Film out,Spring,2021,KPop,
K00049,82,A# Major,,RHYTHM TA ,iKON,WELCOME BACK,Fall,2015,KPop,
