SECTION_ID,SONG_ID,PART,BPM,KEY,SECTION_ORDER
1,1,Intro,81.5,D Major,1
2,1,Verse,81.5,A Major,2
3,1,Prechorus,81.5,A Major,3
4,1,Chorus,81.5,D Major,4
5,2,Full Song,71.0,F Major,1
6,3,Full Song,84.056,E Major,1
7,4,Full Song,71.0,G Major,1
8,5,Full Song,83.0,D Major,1
9,6,Full Song,82.0,A# Major,1
10,7,Verse,75.0,C Major,1
11,7,Chorus,75.0,D# Major,2
12,8,Full Song,72.5,E Major,1
13,9,Full Song,76.0,A Major,1
14,10,Full Song,80.0,F Major,1
15,11,Full Song,85.0,E Major,1
16,12,Full Song,70.0,E Major,1
17,13,Verse,78.07,C Major,1
18,13,Chorus,78.07,C Major,2
19,13,Last Chorus,78.07,D Major,3
20,14,Verse,72.5,D Major,1
21,14,Prechorus,72.5,D Major,2
22,14,Chorus,72.5,E Major,3
23,14,Bridge,72.5,E Major,4
24,15,Full Song,70.0,G Major,1
25,16,Full Song,75.5,G Major,1
26,17,Verse 1,85.0,A Major,1
27,17,Prechorus,85.0,C Major,2
28,17,Chorus,85.0,A Major,3
29,17,Verse 2,130.0,A Major,4
30,18,Full Song,86.5,A Major,1
31,19,Full Song,85.0,E Major,1
32,20,Full Song,75.0,E Major,1
33,21,Full Song,76.5,E Major,1
34,22,Full Song,84.0,C Major,1
35,23,Verse,76.0,G Major,1
36,23,Prechorus,76.0,G Major,2
37,23,Chorus,76.0,A Major,3
38,24,Intro,80.0,G# Major,1
39,24,Verse,80.0,C# Major,2
40,24,Chorus,80.0,A# Major,3
41,24,Bridge,80.0,D Major,4
42,25,Intro,84.0,D# Major,1
43,25,Verse,84.0,F Major,2
44,25,Prechorus,84.0,D# Major,3
45,25,Chorus,84.0,D# Major,4
46,26,Verse,86.0,D Major,1
47,26,Chorus,86.0,B Major,2
48,27,Verse,76.0,E Major,1
49,27,Chorus,76.0,E Major,2
50,27,Last Chorus,76.0,F Major,3
51,28,Full Song,77.0,A Major,1
52,29,Full Song,85.0,D Major,1
53,30,Full Song,72.0,D Major,1
54,31,Verse,80.5,F Major,1
55,31,Chorus,80.5,C Major,2
56,32,Verse,77.0,E Major,1
57,32,Chorus,77.0,F# Major,2
58,33,Full Song,83.0,A# Major,1
59,34,Verse,77.0,D Major,1
60,34,Chorus,77.0,E Major,2
61,35,Full Song,80.0,A Major,1
62,36,Intro,83.5,G# Major,1
63,36,Verse,83.5,F Major,2
64,36,Prechorus,83.5,G# Major,3
65,36,Chorus,83.5,G# Major,4
66,36,Bridge,83.5,A Major,5
67,37,Full Song,79.5,D# Major,1
68,38,Full Song,73.0,D Major,1
69,39,Full Song,75.5,E Major,1
70,40,Full Song,80.0,A# Major,1
71,41,Verse,80.0,C Major,1
72,41,Chorus,80.0,D# Major,2
73,42,Verse,74.0,E Major,1
74,42,Chorus,74.0,G Major,2
75,43,Full Song,83.0,G# Major,1
76,44,Verse,80.0,D Major,1
77,44,Chorus,80.0,D Major,2
78,44,Bridge,80.0,D# Major,3
79,45,Full Song,73.0,A# Major,1
80,46,Full Song,72.5,D# Major,1
81,47,Full Song,81.0,D# Major,1
82,48,Full Song,82.5,F Major,1
83,49,Full Song,70.5,F Major,1
84,50,Full Song,75.0,D Major,1
85,51,Full Song,82.5,G Major,1
86,52,Full Song,75.0,F# Major,1
87,53,Verse A,85.5,C Major,1
88,53,Verse B,85.5,D Major,2
89,53,Prechorus,85.5,E Major,3
90,53,Chorus,85.5,C Major,4
91,54,Full Song,85.0,A Major,1
92,55,Full Song,82.0,F Major,1
93,56,Full Song,85.0,A Major,1
94,57,Full Song,83.0,A Major,1
95,58,Intro,77.5,C Major,1
96,58,Verse,77.5,D# Major,2
97,58,Prechorus,77.5,C Major,3
98,58,Chorus,77.5,C Major,4
99,59,Full Song,84.0,D Major,1
100,60,Verse,84.0,C# Major,1
101,60,Chorus,84.0,D# Major,2
102,61,Full Song,86.0,G Major,1
103,62,Full Song,82.5,G# Major,1
104,63,Full Song,77.0,A Major,1
105,64,Full Song,71.0,D# Major,1
106,65,Full Song,70.0,G# Major,1
107,66,Full Song,84.0,C Major,1
108,67,Full Song,85.0,G Major,1
109,68,Full Song,85.5,C Major,1
110,69,Full Song,87.0,A Major,1
111,70,Full Song,80.0,A Major,1
112,71,Verse,73.5,E Major,1
113,71,Prechorus,73.5,G Major,2
114,71,Chorus,73.5,G Major,3
115,72,Full Song,75.0,D# Major,1
116,73,Full Song,80.0,D Major,1
117,74,Intro,77.5,A# Major,1
118,74,Verse,77.5,C# Major,2
119,74,Chorus,77.5,A# Major,3
120,75,Full Song,73.0,G Major,1
121,76,Intro,77.5,F Major,1
122,76,Verse,77.5,D Major,2
123,76,Chorus,77.5,F Major,3
124,77,Verse,75.0,D# Major,1
125,77,Chorus,75.0,D# Major,2
126,77,Bridge,75.0,F# Major,3
127,77,Last Chorus,75.0,F# Major,4
128,78,Full Song,76.5,F Major,1
129,79,Full Song,82.0,G Major,1
130,80,Full Song,80.0,C# Major,1
131,81,Full Song,77.0,D Major,1
132,82,Verse,75.0,F Major,1
133,82,Chorus,75.0,G# Major,2
134,83,Full Song,79.0,E Major,1
135,84,Full Song,82.5,D Major,1
136,85,Full Song,85.5,G# Major,1
137,86,Full Song,87.0,D Major,1
138,87,Full Song,70.0,D# Major,1
139,88,Full Song,79.5,D# Major,1
140,89,Full Song,79.5,G Major,1
141,90,Intro,74.0,D# Major,1
142,90,Verse,79.0,D# Major,2
143,91,Full Song,83.0,A# Major,1
144,92,Full Song,80.0,D Major,1
145,93,Full Song,75.5,C Major,1
146,94,Full Song,85.0,E Major,1
147,95,Full Song,82.0,F# Major,1
148,96,Verse,85.0,C Major,1
149,96,Chorus,85.0,A Major,2
150,97,Full Song,70.0,G# Major,1
151,98,Full Song,82.0,F# Major,1
152,99,Full Song,75.0,D Major,1
153,100,Full Song,71.5,A# Major,1
154,101,Intro,82.5,F Major,1
155,101,Verse,82.5,G Major,2
156,101,Chorus,82.5,F Major,3
157,102,Full Song,84.0,F# Major,1
158,103,Full Song,73.0,G# Major,1
159,104,Full Song,79.0,C Major,1
160,105,Full Song,85.0,F# Major,1
161,106,Full Song,77.5,E Major,1
162,107,Full Song,71.0,E Major,1
163,108,Full Song,85.0,D Major,1
164,109,Full Song,70.5,F Major,1
165,110,Full Song,77.0,E Major,1
166,111,Full Song,70.0,G Major,1
167,112,Verse,70.0,E Major,1
168,112,Chorus,70.0,F Major,2
169,113,Full Song,74.0,F# Major,1
170,114,Verse,80.0,A Major,1
171,114,Chorus,80.0,C Major,2
172,114,Postchorus,80.0,D# Major,3
173,115,Verse,76.0,F Major,1
174,115,Chorus,76.0,F Major,2
175,115,Last Chorus,76.0,F# Major,3
176,116,Full Song,85.0,F# Major,1
177,117,Full Song,85.0,G Major,1
178,118,Full Song,71.0,F Major,1
179,119,Intro,78.0,E Major,1
180,119,Verse,78.0,C# Major,2
181,119,Chorus,78.0,G Major,3
182,120,Full Song,70.0,G Major,1
183,121,Full Song,73.0,F# Major,1
184,122,Full Song,84.0,G Major,1
185,123,Full Song,73.0,F Major,1
186,124,Full Song,82.0,C Major,1
187,125,Full Song,71.0,G Major,1
188,126,Full Song,80.0,C Major,1
189,127,Verse,82.5,D# Major,1
190,127,Chorus,82.5,A# Major,2
191,128,Full Song,71.5,C Major,1
192,129,Full Song,72.0,G# Major,1
193,130,Full Song,84.5,A Major,1
194,131,Full Song,85.0,E Major,1
195,132,Full Song,83.5,G Major,1
196,133,Verse,86.5,D Major,1
197,133,Chorus,86.5,F Major,2
198,133,Bridge,86.5,A Major,3
199,134,Full Song,84.0,A# Major,1
200,135,Verse,72.0,D Major,1
201,135,Chorus,72.0,F Major,2
202,136,Full Song,70.0,C Major,1
203,137,Full Song,71.0,F# Major,1
204,138,Verse,86.0,D# Major,1
205,138,Chorus,86.0,C Major,2
206,139,Full Song,79.0,D Major,1
207,140,Verse,80.0,F# Major,1
