ID,BPM,KEY,PART,TITLE,ARTIST,ORIGIN,SEASON,YEAR,TYPE,NOTES
W00001,130,B Major,,Gotta Be You,2NE1,,,2018,Western,
W00002,128,F# Major,,Go Away,2NE1,,,2015,Western,
W00003,125,D# Major,,I Love You,2NE1,,,2015,Western,
W00004,145,D Major,,Greenlight,5 Seconds of Summer,,,2015,Western,
W00005,141,E Major,,Good Girls,5 Seconds of Summer,,,2018,Western,
W00006,80,D# Major,,Castaway,5 Seconds of Summer,,,2019,Western,
W00007,144,D Major,,Voodoo Doll,5 Seconds of Summer,,,2016,Western,
W00008,87.5,F Major,,Over and Out,5 Seconds of Summer,,,2015,Western,
W00009,102,D Major,,Amnesia,5 Seconds of Summer,,,2006,Western,
W00010,80,A# Major,,What I Like About You,5 Seconds of Summer,,,2018,Western,
W00011,92,E Major,,Just Saying,5 Seconds of Summer,,,2018,Western,
W00012,126,E Major,,Hey Everybody!,5 Seconds of Summer,,,2015,Western,
W00013,85,D Major,,Money,5 Seconds of Summer,,,2020,Western,
W00014,93,D Major,,Fly Away,5 Seconds of Summer,,,2014,Western,
W00015,128,E Major,,Lost In Reality,5 Seconds of Summer,,,2020,Western,
W00016,152,D# Major,,End Up Here,5 Seconds of Summer,,,2016,Western,
W00017,85,D Major,,Social Casualty,5 Seconds of Summer,,,2016,Western,
W00018,128,C# Major,,Broken Home,5 Seconds of Summer,,,2020,Western,
W00019,150,D# Major,,Don't Stop,5 Seconds of Summer,,,2016,Western,
W00020,160,E Major,,She Looks So Perfect,5 Seconds of Summer,,,2014,Western,
W00021,133,A Major,,Close As Strangers,5 Seconds of Summer,,,2014,Western,
W00022,145,F# Major,,Never Be,5 Seconds of Summer,,,2020,Western,
W00023,118,E Major,,She's Kinda Hot,5 Seconds of Summer,,,2018,Western,
W00024,160,A# Major,,Hold Each Other,A Great Big World,(Solo)/FUTURISTIC,,2015,Western,
W00025,94,D Major,,Say Something,A Great Big World,(Solo)/Christina Aguilera,,2017,Western,
W00026,93,F Major,,Sober Up,AJR,Rivers Cuomo,,2013,Western,
W00027,124,F Major,,Weak,AJR,,,2010,Western,
W00028,93,C Major,,FEVER,ATEEZ,,,2020,Western,
W00029,146,C Major,,Good Lil Boy,ATEEZ,,,2015,Western,
W00030,150,D# Major,,TO THE BEAT,ATEEZ,,,2021,Western,
W00031,82.5,G Major,,THANXX,ATEEZ,,,2007,Western,
W00032,101,C# Major,,One Day At A Time,ATEEZ,,,2014,Western,
W00033,93,C Major,,Dear Diary : 2016.07.29,ATEEZ,,,2018,Western,
W00034,150,G Major,,INCEPTION,ATEEZ,,,2015,Western,
W00035,146,A# Major,,Daydreamer,AURORA,,,2015,Western,
W00036,110,A# Major,,Little Boy In The Grass,AURORA,,,2013,Western,
W00037,66,C Major,,Through the Eyes of a Child,AURORA,,,2010,Western,
W00038,116,A# Major,,I Went Too Far,AURORA,,,2013,Western,
W00039,110,C# Major,,Dance On The Moon,AURORA,,,2011,Western,
W00040,130,F Major,,All Is Soft Inside,AURORA,,,2019,Western,
W00041,120,A Major,,In Bottles,AURORA,,,2014,Western,
W00042,0,G# Major,,Infections Of A Different Kind,AURORA,,,2019,Western,
W00043,144,C Major,,Lucky,AURORA,,,2013,Western,
W00044,130,G Major,,Warrior,AURORA,,,2013,Western,
W00045,128,F# Major,,Animal,AURORA,,,2017,Western,
W00046,162,B Major,,Black Water Lilies,AURORA,,,2017,Western,
W00047,133,D# Major,,The Seed,AURORA,,,2018,Western,
W00048,95,D Major,,The River,AURORA,,,2016,Western,
W00049,120,G Major,,Under Stars,AURORA,,,2013,Western,
W00050,118,C# Major,,Gentle Earthquakes,AURORA,,,2015,Western,
W00051,128,C Major,,Under the Water,AURORA,,,2015,Western,
W00052,130,C# Major,,Queendom,AURORA,,,2011,Western,
W00053,164,F Major,,Running With The Wolves,AURORA,,,2020,Western,
W00054,115,B Major,,Runaway,AURORA,,,2020,Western,
W00055,104,A# Major,,Soft Universe,AURORA,,,2010,Western,
W00056,92,G# Major,,Hunger,AURORA,,,2018,Western,
W00057,184,C Major,,Conqueror,AURORA,,,2019,Western,
W00058,104,C Major,,"Murder Song (5, 4, 3, 2, 1)",AURORA,,,2011,Western,
W00059,112,A Major,,Awakening,AURORA,,,2016,Western,
W00060,119,G# Major,,A Different Kind Of Human,AURORA,,,2012,Western,
W00061,110,A Major,,Churchyard,AURORA,,,2015,Western,
W00062,112,G Major,,It Happened Quiet,AURORA,,,2017,Western,
W00063,110,D# Major,,Soulless Creatures,AURORA,,,2021,Western,
W00064,144,G# Major,,Winter Bird,AURORA,,,2019,Western,
W00065,95,C Major,,Home,AURORA,,,2016,Western,
W00066,124,A Major,,Forgotten Love,AURORA,,,2015,Western,
W00067,94,C Major,,Apple Tree,AURORA,,,2008,Western,
W00068,0,G# Major,,Mothership,AURORA,,,2020,Western,
W00069,135,G# Major,,Never Close Your Eyes,Adam Lambert,,,2013,Western,
W00070,130,F# Major,,For Your Entertainment,Adam Lambert,,,2015,Western,
W00071,120,G Major,,Ghost Town,Adam Lambert,,,2019,Western,
W00072,82.5,A# Major,,Better Than I Know Myself,Adam Lambert,,,2020,Western,
W00073,121,B Major,,Another Lonely Night,Adam Lambert,,,2014,Western,
W00074,82,C Major,,Lost Stars,Adam Levine,,,2016,Western,
W00075,122,C Major,,Fantasia,Adam Wright,,,2014,Western,
W00076,102,E Major,,Find You,Adam Wright,Amanda,,2015,Western,
W00077,106,E Major,,Million Years Ago,Adele,,,2020,Western,
W00078,113,A# Major,,I Miss You,Adele,,,2014,Western,
W00079,108,F Major,,Set Fire To The Rain,Adele,,,2020,Western,
W00080,135,A Major,,Someone Like You,Adele,,,2020,Western,
W00081,71,E Major,,All I Ask,Adele,,,2015,Western,
W00082,144,D# Major,,When We Were Young,Adele,,,2013,Western,
